,1996-04,1996-05,1996-06,1996-07,1996-08,1996-09,1996-10,1996-11,1996-12,1997-01,1997-02,1997-03,1997-04,1997-05,1997-06,1997-07,1997-08,1997-09,1997-10,1997-11,1997-12,1998-01,1998-02,1998-03,1998-04,1998-05,1998-06,1998-07,1998-08,1998-09,1998-10,1998-11,1998-12,1999-01,1999-02,1999-03,1999-04,1999-05,1999-06,1999-07,1999-08,1999-09,1999-10,1999-11,1999-12,2000-01,2000-02,2000-03,2000-04,2000-05,2000-06,2000-07,2000-08,2000-09,2000-10,2000-11,2000-12,2001-01,2001-02,2001-03,2001-04,2001-05,2001-06,2001-07,2001-08,2001-09,2001-10,2001-11,2001-12,2002-01,2002-02,2002-03,2002-04,2002-05,2002-06,2002-07,2002-08,2002-09,2002-10,2002-11,2002-12,2003-01,2003-02,2003-03,2003-04,2003-05,2003-06,2003-07,2003-08,2003-09,2003-10,2003-11,2003-12,2004-01,2004-02,2004-03,2004-04,2004-05,2004-06,2004-07,2004-08,2004-09,2004-10,2004-11,2004-12,2005-01,2005-02,2005-03,2005-04,2005-05,2005-06,2005-07,2005-08,2005-09,2005-10,2005-11,2005-12,2006-01,2006-02,2006-03,2006-04,2006-05,2006-06,2006-07,2006-08,2006-09,2006-10,2006-11,2006-12,2007-01,2007-02,2007-03,2007-04,2007-05,2007-06,2007-07,2007-08,2007-09,2007-10,2007-11,2007-12,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09
60657,146700,146500,146300,146300,146800,147100,147300,147800,148600,149100,149600,151100,153200,155100,157200,159100,160000,160800,162200,163200,164100,165600,167400,168000,168100,168500,168900,169100,170200,172100,174500,177100,180500,183200,184900,187100,189800,191300,192000,193200,195000,197100,200100,203100,204800,206100,207900,209900,212700,216600,219900,223500,227100,229100,230300,233000,236200,239700,242900,245400,248000,250400,252600,254300,257300,261400,265100,266200,266500,267100,268000,269000,269500,269800,270400,272700,276300,279300,281900,284600,285400,285300,286200,288900,291800,295100,298600,300200,299100,298000,296300,294200,292700,292500,293500,295100,295800,296000,296900,297800,297900,297900,298300,299100,302400,307200,309900,311000,311000,311300,311900,312600,313400,314500,315700,317900,320700,322300,322200,321200,320900,320600,319700,319000,318800,318000,317700,318200,318100,318000,318600,319200,319500,320800,321500,322400,324000,324500,323800,323300,322600,322500,323200,323300,322800,321500,319700,318200,316500,315500,315700,313900,312100,312000,312200,311400,310000,307300,306600,306800,305700,304500,304700,305200,302800,296200,289800,287300,286300,285400,283900,281600,279600,277800,274900,272200,272300,273500,274200,271700,267900,266100,266200,264300,262600,262500,261800,260400,259600,260500,260800,259800,259200,260300,260900,261200,263000,264300,266200,268200,268900,268700,269800,272600,277700,283100,286000,288100,289000,289400,289900,290800,291300,292700,295000,297900,297600,295400,295100,298200,301500,303100,303600,305300,307400,307300,305100,304900,307200,308600,308400,308900,308300,308600,310300,311300,310400,310600,312000,314100,316200,316700,316600,316500,316900,316400,316300,316800,318100,318500,319600,321100,323100,324900,325600,325000,325600,327000
60614,198000,195500,194200,193800,193900,194500,195900,197900,200100,199700,197700,197600,199700,200500,201000,202100,202700,202300,202500,203000,203200,203800,205200,206900,209100,210900,213700,217400,220600,222200,223300,224300,225900,228100,230300,232000,234600,239200,243000,245800,248900,251800,253900,255900,257400,259900,262600,264900,268000,271700,274200,275800,277500,279900,283900,289000,293000,294700,296100,298600,301600,305600,309200,312000,313700,315900,318300,320200,321200,323200,325900,327400,326600,325600,325500,325500,326800,329600,332700,333800,332600,332200,333500,335100,336200,338100,340400,343500,346400,348000,346900,345300,345600,346700,348800,351600,353500,353600,353300,352800,354600,358300,360200,361600,367200,373100,375200,376700,379200,380600,381500,381700,380300,378400,379200,380900,383100,384500,385300,385200,385200,384400,383800,384200,384800,384200,384600,386900,387400,386400,386300,387800,389200,390600,392400,395800,397900,398100,398100,398100,397000,396300,394800,392300,389800,387600,385000,381100,377200,374700,373800,372100,373100,377900,381400,379000,376000,373300,370300,368200,368400,368800,367500,366200,359800,351100,346300,347300,348100,348900,347000,343100,340000,339400,338000,335600,335600,337000,338200,336900,332800,329400,329200,328600,327900,327500,326500,325000,324500,323000,320900,319400,319500,320000,320300,319300,318500,317900,317900,317900,316400,314100,314700,320700,329100,335000,341100,351900,357800,357000,355000,355200,355800,357500,358500,360800,362500,363600,365400,368300,368700,366500,363200,362300,365100,367000,361700,355800,356200,358100,357400,357500,359900,366300,377400,385300,388800,391800,395900,399500,403100,402500,400200,398700,398500,399200,403400,411800,415200,414700,415400,410700,400400,402400,411400,411800,412300,418200
60640,102300,101300,100700,100600,100700,101300,102300,103200,104400,105200,105600,106400,106800,106600,106900,107900,109100,109600,109000,108200,107900,107900,108000,108900,110900,112800,114100,115400,116400,117000,117800,119400,120800,122000,123300,124200,124900,126300,127600,128000,128600,129700,131400,133400,135100,136600,138900,141100,142500,143800,145800,147700,148800,150200,152400,155400,158100,160400,162500,164300,166400,168700,170400,171700,172900,174300,175700,176900,178000,179600,181200,183000,184900,187000,189200,191200,192800,194700,196000,196900,197400,197200,197300,198600,201000,204200,207500,209100,210200,211300,211900,211600,212300,213500,214200,215100,215700,214500,212800,214000,217400,220600,222400,223400,224100,224400,225100,226200,226500,225900,226100,227500,228100,227700,228000,228500,229000,230700,232100,232500,232600,233400,234100,234500,234400,234000,234300,235700,236500,237000,237800,237600,237400,237700,237400,236100,235100,234400,233800,233600,234000,233700,232700,231300,229900,228400,226600,224600,223400,222700,221900,219300,220500,225500,228600,227200,225500,223200,221600,220800,220300,220000,219500,220300,215400,207200,200900,199900,199700,200500,199600,198000,195900,194100,192400,190500,188600,186500,185100,184300,182400,179300,175700,172200,169200,167400,165600,164600,164900,164400,162700,161700,160900,161200,163500,166000,167000,166200,164500,163900,164200,165700,167300,167500,167900,169600,172500,175000,176200,176900,178500,179200,179000,180100,182000,183400,184500,185400,185300,185600,187800,189800,191400,192300,192400,191300,190600,191700,194800,196300,194800,192600,191300,192200,194200,195200,195200,195300,195400,195100,195300,195300,197100,198900,198700,197500,198100,198900,200200,201700,203600,205000,204700,204200,204700,206700,209500,212000
60647,124500,124000,123600,124100,124600,124600,124000,124100,124800,125200,125000,125000,125200,125200,125800,126500,127600,129000,130600,131500,132000,132400,133200,133600,133900,134700,135500,136300,137400,138400,138900,139600,140200,141100,142400,143700,144800,146100,147900,150100,152200,154900,158500,161400,162900,165100,168600,171900,174400,176600,178300,178400,178800,180400,182000,183200,185900,188700,190700,192800,196200,199500,201200,202700,204400,205600,206900,209500,211400,212900,215100,217100,217600,217000,216600,217300,218400,219900,221600,223700,225400,226900,227900,229500,231600,235200,239800,243600,246500,249300,251000,251400,251800,252300,253000,253600,254600,256400,258900,260900,261600,261700,262800,265100,268200,271200,273200,274900,277000,278700,281200,285500,289800,292600,295200,297900,300900,303300,305100,307100,308900,309800,310000,310100,310200,309600,308200,307500,307100,307100,307200,307500,307100,306700,305800,305100,304700,305300,305400,304300,303100,303000,302800,301200,299600,297600,293300,288000,285100,283900,282600,280300,279000,278900,278200,275900,273700,271000,268900,267800,267700,266900,265600,265600,263500,259800,256600,254300,252300,252600,251900,249000,245400,243200,243700,244200,243900,243300,243500,243300,241100,238100,236100,234000,231100,228800,225800,222500,220200,219300,219100,219200,219700,219900,221000,223000,223700,222400,221600,221300,221300,220700,221400,224600,229700,233500,239700,247700,254000,257300,260500,262800,264700,266600,268400,269700,271000,272900,274900,277500,280500,282500,283400,284500,285800,287300,287600,288100,288000,288000,288000,288400,289500,292500,295900,299100,301600,301800,301000,301900,305400,310100,310700,308900,310600,315500,318900,322000,324800,327100,328700,329400,329800,330900,331800,331900,332300,333000
60618,140900,140300,139500,139000,138700,138200,137500,137000,136800,137100,137800,138200,137500,136800,136700,137200,138100,139100,140000,140900,141900,143200,144900,146100,146900,148300,149600,150200,150500,150900,151400,152500,154100,156200,158400,160200,161600,162800,163100,163800,165700,168500,171900,175100,177400,179600,181900,184200,186900,189700,192500,195000,197600,201200,206200,210500,214200,217700,220300,222000,223400,224200,224900,226900,229400,231000,232500,234900,236600,237300,237900,239200,241200,243300,244600,245600,247000,248900,250400,251600,253300,256000,259200,262400,265300,269600,275700,282300,287500,289900,288900,286900,285300,284100,284200,285500,287400,289800,293200,295600,296900,298600,301600,305200,309400,313300,315600,318000,321000,324500,326500,327000,327100,327800,328900,331000,334000,336800,339600,342600,345300,347100,347900,348800,349500,349800,350100,350500,350200,350600,351100,351100,349900,348300,347100,346400,346800,348600,349700,349000,349200,350400,349600,346000,342500,338600,335400,332100,328100,323900,321400,318400,318400,320400,319600,315100,311300,307800,304500,302500,301300,299300,297200,298400,292200,280200,272600,271900,270200,269300,266600,263200,261400,260700,259800,257600,256200,256500,257800,257000,254200,250700,248500,247600,247400,246600,244300,241700,240100,240200,240300,241200,242300,242000,241400,241200,239500,237500,237300,238800,241600,243300,245000,247200,250000,253800,260500,267700,272300,275300,278300,279200,279300,281500,285000,287400,291300,295400,296800,296800,298600,300500,301500,301900,302000,301500,299500,298400,299800,301800,303400,305000,305800,306400,307800,309800,312000,313400,314200,315500,318200,322100,323000,320400,320400,323700,325300,326700,330000,332400,333000,332200,331100,330500,331600,332800,333300,333600
60613,106100,105300,104500,104700,105000,105200,105200,105300,105900,106600,107100,108000,108900,109300,109200,109600,110600,111600,112400,112600,112500,112300,112100,111700,111600,112100,113000,114100,116000,118600,121000,122800,124100,125000,126000,127200,129000,131200,134000,136400,137500,137400,138000,139800,141400,142600,144700,146900,149000,151900,154900,156400,156800,157800,159500,161700,164700,168700,172300,174900,177400,180700,184400,188000,191000,193800,196300,197900,199700,202000,204300,206400,207900,208600,208900,208800,208800,209400,210900,212500,213100,212700,213300,215400,218300,220300,220900,222600,225800,227500,226700,226700,227400,227900,228500,229200,228700,228400,228900,229700,230900,233100,235500,236300,236800,238300,239300,240000,240400,240100,239400,238800,236800,234500,232500,231300,232300,235200,236700,236000,234900,234500,234900,235500,236400,236400,237400,238700,239700,239300,238500,237600,238300,238600,238200,238600,240300,241400,241300,240900,241300,241300,239800,237000,234800,233300,231800,229700,228000,227200,225800,223200,222000,221900,222900,225500,227000,224600,221800,220700,220400,221200,221800,223700,218100,209000,203000,201700,199100,198400,198100,196700,194200,192800,192700,191100,191400,193800,193700,190100,186100,183300,180800,179600,178300,175900,173300,171400,169400,167300,167800,168200,169100,172100,175000,173500,172000,171000,170200,170300,171800,173400,174700,175700,177000,178600,181400,183700,184200,183700,183800,184400,185900,187400,187800,188200,189800,190700,189000,187900,189300,190900,192000,193100,193100,192000,191100,192000,193000,192100,190500,191400,192800,194300,195600,196300,196800,197500,198200,198100,198500,197100,198600,201000,200300,197900,198000,198000,199400,201800,202400,202500,202900,204000,205300,207100,209100,211200
60629,94800,94900,94700,94700,94400,94100,93900,93900,93900,94200,94700,94800,94800,94800,94900,94900,95200,95700,95600,95600,96000,96500,97000,97300,97400,97500,97700,97800,98100,98200,98700,99400,99800,100000,100600,101100,101900,102700,103100,103400,104200,105700,107300,108700,109700,110700,111600,112600,113300,113900,114700,115300,115900,116500,117100,117800,119000,120200,121700,123500,124900,125800,127000,128500,129800,130900,132300,133300,133800,134400,135400,136400,137600,138800,140300,142400,144500,146200,147500,148700,150200,151700,153500,155600,158100,161000,164200,167100,168900,169900,171000,172200,172800,173700,174800,176000,177500,179300,180700,181800,183300,185000,186900,190000,193900,197200,199400,201400,203700,206100,207700,209000,211600,214900,217700,219900,222400,225100,227600,229300,230400,231300,232400,233300,233300,232600,232400,232500,232100,232100,232500,232800,232300,231200,229500,228400,227700,227500,227000,226200,224100,221200,218700,216500,213800,210200,206100,202100,198700,195400,192200,188800,184900,181400,178100,174100,170300,167200,164300,160900,157500,154100,151200,149200,148100,147000,144800,141800,139300,137900,137400,136600,135300,134500,133300,131000,129100,127400,126400,126000,125300,123900,122400,121300,120600,120000,119100,117800,117600,117600,116300,115200,115200,115100,115500,116500,117300,117700,118300,118800,118100,117500,118400,120100,121200,122300,123100,123800,124600,125200,125600,127300,128300,128300,128700,130000,131100,132200,132300,131500,131200,132000,132700,132800,133700,135700,136800,136800,137500,139100,139900,140300,141200,141500,141200,141500,142300,142700,143200,143800,145200,146300,150200,154800,156200,154800,155400,156500,157700,158500,159600,160400,160200,159400,158200,157200,157800,159100
60625,132700,132200,131400,130000,128800,128000,127500,127300,127600,128300,128800,129100,129300,129700,129800,130100,131000,132100,133100,133500,133800,134700,136000,136600,137100,137800,138100,138600,139500,140900,142500,144100,145400,147100,149200,150900,152000,153400,154600,155500,156400,157900,159700,161900,163700,164900,165900,167900,170100,172000,174300,176700,178500,180100,182700,185500,188300,190400,192400,194800,197500,199700,201400,203400,205500,206800,208000,210500,212900,214200,215300,217100,219400,221400,223600,226000,228100,229600,230600,231400,233100,235400,237000,238200,239300,241000,244000,246800,248400,249900,250900,251500,251600,252000,252800,253900,255800,258000,259800,261500,264500,267800,270900,273200,275200,277600,280300,282200,283500,284500,285300,286900,288600,290200,291900,293600,295300,297700,299600,300800,301200,301300,301300,301200,300400,299300,297600,296900,297600,299000,301100,303700,305200,306500,307900,308800,309100,309700,309700,308200,306600,305900,304100,300500,297500,294600,291200,288000,285600,283400,281300,278000,278400,281200,281000,276400,272600,269800,268800,267700,266000,264300,262700,263300,256900,244800,237000,235900,234300,233600,232100,230200,227600,225700,225000,223700,222000,221700,221000,218900,216500,214100,211100,208700,207200,205600,203200,201600,201300,201600,202800,204500,205100,204600,203500,202300,201400,200700,200100,200400,202000,203700,205200,206700,209200,210800,212200,216000,221100,224500,226900,228600,229500,229700,230300,230500,230900,232200,233300,232800,232400,232600,232200,231800,232400,232900,233200,234200,236100,238400,240500,241300,241400,242100,243700,245000,245900,246200,245800,246300,249200,250800,252500,254100,254400,254500,255900,256500,258100,260500,262400,262500,261800,262100,263900,265100,265900,266600
60619,77000,76900,77400,77800,78200,78700,79100,79600,80200,80700,80700,80400,80000,79500,78900,78300,77900,78000,78600,79100,79400,79600,79900,80500,81300,82500,83300,84000,85100,85900,86400,86800,87000,87500,88400,89200,89900,90300,90600,90900,91200,91500,92000,92300,92400,92600,93400,94700,95700,96500,97500,98400,98900,99100,99500,100200,101300,102100,102200,102400,102400,102500,102700,103300,103700,104400,105300,106100,107000,108400,110100,110900,111400,112200,113300,114500,115300,115200,114600,114600,115400,116700,118200,120000,121400,123000,124400,125400,126300,127100,127500,127600,127800,127900,128100,128700,130000,131400,132400,133100,134300,136300,138500,140800,142800,144000,144700,145700,147100,148100,148900,150400,152100,154400,157200,159600,160900,162200,163200,164000,164700,165700,166800,167700,168200,168300,168900,169600,170000,170800,172300,173700,174500,174900,175200,175700,176300,176300,175500,174500,173300,172100,171000,169700,168600,167700,166900,165600,164300,163000,162000,160700,159000,156900,155000,152400,148400,144800,142300,140300,138200,136300,134700,134000,134900,136000,135200,133800,133700,133400,132300,130800,129800,129700,129200,127900,126400,125000,124200,123700,122200,119500,117400,117000,118500,120700,122300,122800,123300,123600,123900,124600,125000,124300,123800,123900,123400,122500,122300,122500,122000,121900,122000,122900,125500,130200,134400,137500,138100,135900,132000,129900,129200,129300,129900,131000,132200,133800,134200,132800,130700,129400,129300,128700,126700,124300,123000,122700,122800,122900,123200,123000,122800,122600,122800,124000,125500,126700,127800,128700,129500,130500,132200,134400,136400,138300,140100,141900,143600,144000,143400,142600,142200,142800,143800,143700,143700,144300
60617,75700,75800,75800,75600,75400,75200,74900,74900,74800,74700,74800,75200,75500,75800,76000,76300,76700,77500,78300,78900,79400,80300,81500,82000,82000,82300,82600,82100,81700,81700,82200,82900,83500,84100,85000,85900,86400,86700,86800,87500,88300,88600,88700,89000,89100,89400,89800,90300,91000,91600,92600,93600,94500,95300,95700,95800,96400,96600,96200,96200,96600,97200,97900,98400,99100,100300,101900,103300,104500,105500,106200,106400,106600,106800,107000,107300,107900,108300,108400,108800,109600,110400,111400,112700,113800,114900,116400,117400,117500,117600,118200,118800,119300,119900,120900,122200,123300,124400,125500,127200,129200,130300,130800,131800,133200,134800,136300,138200,140600,142800,143600,144300,145700,147600,149500,150800,151600,152000,152900,153600,153900,154300,155600,157000,158400,160100,161600,162500,163000,163200,163300,163800,163700,162700,161600,161000,160200,159400,158900,158800,158400,157800,157100,156100,155700,155800,155200,153800,152700,151700,150500,149400,148200,146500,144900,143300,141100,139200,138100,137200,135700,134200,133000,132000,131700,131900,131000,128800,127300,126100,124700,123400,122300,121400,120500,119400,118700,119000,119800,119500,118000,115700,112900,110400,109200,109500,109900,109200,107900,107000,106500,106600,107600,109300,110600,111100,110700,109800,109300,110000,110800,110700,110500,111600,113100,114100,114900,116200,116900,116300,114700,112900,111100,110200,110600,110400,108400,106500,105700,105600,105500,105100,103900,103200,102900,101500,99300,98100,98100,99600,101300,102600,103400,104400,105600,106800,107800,107800,107400,107700,109400,110600,113000,115300,115700,114700,115100,115500,116400,117400,118400,119000,119300,119000,118100,117300,117900,118800
60610,113400,114300,114900,115100,115200,115400,116300,117500,118300,118900,119500,120200,121700,123200,125000,127000,128700,129000,129900,130800,131500,132800,134800,135700,136700,139300,142700,145800,149000,152200,154900,157300,160200,162600,164000,165100,167300,170300,174300,178500,181200,182400,183600,184600,185200,186700,188800,191000,191000,188700,186300,187000,189300,191000,192500,195700,199100,200600,203200,208400,212800,215000,215900,216100,216700,218300,219700,222100,225200,227900,229100,229600,229800,230700,232200,231800,230100,230800,233300,234100,233900,233900,235600,237800,239500,240800,242000,242500,242200,242100,242100,242300,242900,244200,243900,241100,239600,240600,242000,244200,248000,250100,249100,248200,249300,250900,251600,253200,255300,256100,256000,256400,257100,258900,261600,262000,262000,263400,265200,265900,268100,269900,269900,269600,269800,269700,270000,270600,270700,270900,270300,268400,267500,269000,271900,275000,277000,276700,275900,277000,279300,281500,283200,283000,281200,279200,277000,274300,272700,271200,268800,265700,265500,267900,271900,274200,273500,269700,266300,263800,262200,262400,263600,265900,256900,242000,233100,233100,232500,232100,230100,227300,224100,223100,222600,221200,223500,227700,227000,223600,220600,218000,215800,213800,211700,209700,207400,205800,204800,202400,200600,200000,200600,202600,205600,207400,207900,207800,208200,208200,209700,211800,213000,213400,215900,218200,221500,226400,229800,229800,229900,230400,231500,234300,237300,238600,237900,236500,235300,235500,237100,239000,240100,240400,239300,238400,238900,240200,242000,243900,244900,244700,244700,245400,246200,246100,246200,247200,247400,246900,247100,247300,246200,244300,242400,241900,244100,246800,248900,251000,253000,253600,254700,257200,261000,265500,270200,273900
