zip,Year_2011,Year_2012,Year_2013,Year_2014,Year_2015,Year_2016,Year_2017,Year_2018,Year_2019
60004,5927,5929,6025,6149,6128,6092,6092,6252,6327
60005,2718,2731,2731,2687,2730,2692,2790,2665,2797
60007,6293,6262,6299,6449,6429,6461,6445,6517,6520
60008,4819,4841,4941,4931,5025,4988,5089,5019,4919
60016,4176,4156,4341,4355,4287,4258,4248,4077,4033
60018,5465,5397,5350,5256,5262,5179,5014,5049,5003
60022,1320,1283,1270,1225,1193,1197,1166,1186,1167
60025,4250,4219,4179,4225,4195,4203,4148,4091,4047
60026,4677,4810,4872,4911,5088,5160,5258,5322,5287
60043,529,554,539,509,492,477,469,448,463
60053,2312,2327,2392,2435,2465,2430,2370,2476,2594
60056,7788,7875,7826,7993,8028,8032,8024,7985,8033
60062,6125,6047,6185,6109,6156,6311,6179,6067,6299
60067,7461,7553,7544,7451,7425,7431,7198,7314,7361
60068,8067,7854,7788,7760,7772,7890,7931,7948,8033
60070,1409,1411,1444,1470,1507,1510,1511,1511,1488
60074,6161,6387,6459,6397,6344,6198,6069,5748,5926
60076,3190,3197,3169,3148,3183,3271,3273,3202,3166
60077,6668,6862,6955,6961,6860,6818,6683,6682,6678
60089,3688,3682,3600,3546,3506,7226,3541,3549,3558
60090,5272,5345,5364,5296,5188,5059,5064,4969,4964
60091,3837,3836,3921,3901,3913,3941,3835,3793,3758
60093,6558,6496,6528,6444,6341,6190,6165,6027,6123
60104,2189,2126,2111,2297,2268,1989,2138,2118,2067
60130,1658,1703,1635,1653,1524,1542,1486,1532,1493
60131,3045,2854,3103,3001,3089,3106,3075,3154,3181
60133,1243,1262,1257,1305,1350,4694,1360,1382,1416
60153,4585,4463,4489,4378,4104,4160,3828,4137,4164
60154,1225,1241,1235,1238,1196,1133,1138,1120,1158
60155,817,826,780,731,744,701,697,728,696
60160,2947,2977,2938,2869,2948,2883,2743,2539,2418
60162,2932,2681,2695,2501,2614,2649,2330,2302,2323
60163,1027,808,966,944,909,906,856,867,825
60164,5413,5626,5602,5524,5485,5347,5363,5299,5319
60169,8016,7987,7773,7729,7614,7728,7640,7655,7754
60171,1159,1211,1208,1264,1346,1327,1345,1324,1360
60172,552,527,524,554,563,4666,620,663,675
60176,1157,1168,1193,1247,1282,1311,1312,1335,1304
60192,1091,1072,1069,1225,1143,2253,1085,1040,1120
60193,4096,4066,4049,4099,4155,4303,4484,4619,4714
60194,4140,4369,4463,4476,4476,4341,4292,4245,4274
60195,442,438,433,435,471,480,521,582,579
60201,6111,6377,6477,6428,6557,6751,6944,7067,7086
60202,2779,2862,2923,2997,3119,3193,3193,3278,3289
60203,308,312,334,346,341,350,368,363,387
60302,6969,7141,7181,7250,7292,7322,7420,7527,7583
60304,1542,1564,1636,1717,1735,1725,1792,1786,1805
60305,1329,1311,1323,1336,1324,1356,1395,1388,1461
60402,10607,10929,10931,10985,11072,10919,10727,10375,10223
60406,4447,3979,4065,3939,3952,3847,3810,3748,3734
60409,6727,6356,6257,6284,6102,5880,5779,5738,5652
60411,10099,10044,9834,9765,9801,9195,9034,9379,9184
60415,1216,1226,1295,1324,1308,1276,1326,1302,1322
60419,3667,3338,3416,3177,3391,3248,3005,3102,2971
60422,4855,4780,4665,4732,4629,4618,4634,4689,4691
60425,1089,1130,1145,1177,1153,1107,1102,1059,1061
60426,6426,6248,6107,5791,5775,5605,5588,5315,5299
60428,1501,1447,1542,1602,1493,1571,1574,1690,1714
60429,1590,1599,1390,1386,1410,1358,1434,1411,1463
60430,1862,1808,1793,1806,1802,1822,1864,1917,1904
60438,5239,5219,5055,5197,5247,5166,5158,5427,5330
60439,3977,3863,3757,3637,3571,3508,3464,3501,3591
60443,2820,2559,2448,2501,2459,2331,2458,2441,2388
60445,4223,4230,4365,4340,4430,4386,4131,4353,4358
60452,4926,4924,4869,4820,4837,4819,4657,4711,4841
60453,8336,8287,7942,8087,8241,8206,7945,8217,8348
60455,1284,1284,1342,1320,1275,1273,1266,1189,1203
60456,375,363,371,380,421,402,362,334,392
60457,2077,1912,1931,1970,1976,1983,2029,2105,2140
60458,1887,1988,1876,1874,1861,1841,1867,1815,1750
60459,5228,5131,5149,5256,5369,5253,5231,5396,5352
60461,2067,2003,1901,1768,1590,1586,1474,1493,1506
60462,7650,7441,7408,7359,7244,7072,6952,7141,7119
60463,3604,3469,3242,3510,3513,3512,3267,3002,3308
60464,1087,1083,1050,1057,1037,1059,1245,1260,1255
60465,3157,3288,3249,3319,3388,3378,3324,3282,3307
60466,3404,3458,3363,3443,3299,3496,3066,2920,2759
60467,1964,1885,1808,1738,1702,1723,1668,1632,1641
60469,945,911,888,831,797,786,736,698,638
60471,2212,2386,2479,2356,2306,2285,2126,2148,2145
60472,772,956,896,904,930,871,871,885,879
60473,4319,4126,4154,4042,4079,4222,3846,4191,4338
60475,1218,1185,1123,1130,1177,1393,1110,1132,1122
60476,211,224,227,215,228,131,234,251,235
60477,4562,4475,4545,4469,4450,4438,4291,4066,4140
60478,2869,2704,2534,2454,2361,2454,2431,2494,2498
60480,321,286,314,377,406,373,361,382,351
60482,963,983,1017,1047,1063,1141,1080,1098,1028
60487,4068,3918,3852,3777,3760,4509,3822,3782,3960
