Rate,Date
7.3,1/1/90
7.1,2/1/90
6.9,3/1/90
7.1,4/1/90
6.9,5/1/90
7.1,6/1/90
7.3,7/1/90
7.4,8/1/90
7.3,9/1/90
6.9,10/1/90
6.8,11/1/90
7,12/1/90
7.8,1/1/91
7.6,2/1/91
7.8,3/1/91
7.4,4/1/91
7.8,5/1/91
8.3,6/1/91
8.2,7/1/91
8.2,8/1/91
8.3,9/1/91
8.5,10/1/91
9,11/1/91
9.4,12/1/91
10,1/1/92
9.8,2/1/92
9.4,3/1/92
9.1,4/1/92
9.4,5/1/92
9.9,6/1/92
9.1,7/1/92
8.4,8/1/92
8.1,9/1/92
7.3,10/1/92
7.8,11/1/92
8.1,12/1/92
9.1,1/1/93
9,2/1/93
8.8,3/1/93
8.8,4/1/93
9.2,5/1/93
9.6,6/1/93
9,7/1/93
8.4,8/1/93
8.5,9/1/93
8,10/1/93
7.3,11/1/93
7,12/1/93
8.4,1/1/94
7.7,2/1/94
7.5,3/1/94
7,4/1/94
6.5,5/1/94
6.7,6/1/94
6.7,7/1/94
6.4,8/1/94
5.9,9/1/94
5.9,10/1/94
5.3,11/1/94
5.1,12/1/94
6.3,1/1/95
5.9,2/1/95
6,3/1/95
6.7,4/1/95
6.2,5/1/95
6.2,6/1/95
6.3,7/1/95
6.1,8/1/95
5.7,9/1/95
5.4,10/1/95
5.2,11/1/95
5.4,12/1/95
6.6,1/1/96
6.1,2/1/96
6,3/1/96
6.2,4/1/96
6.4,5/1/96
6.4,6/1/96
6.6,7/1/96
5.9,8/1/96
5.6,9/1/96
5.4,10/1/96
5.3,11/1/96
5.4,12/1/96
6.3,1/1/97
6,2/1/97
6,3/1/97
5.6,4/1/97
5.3,5/1/97
5.9,6/1/97
5.7,7/1/97
5.5,8/1/97
5.6,9/1/97
5.4,10/1/97
5.3,11/1/97
5.4,12/1/97
6,1/1/98
5.5,2/1/98
5.5,3/1/98
4.7,4/1/98
4.8,5/1/98
5.7,6/1/98
5,7/1/98
5.3,8/1/98
5.4,9/1/98
5.1,10/1/98
4.8,11/1/98
4.6,12/1/98
5,1/1/99
5,2/1/99
4.6,3/1/99
5.2,4/1/99
5.1,5/1/99
5.9,6/1/99
5.7,7/1/99
5.2,8/1/99
5,9/1/99
4.7,10/1/99
4.6,11/1/99
4.5,12/1/99
5,1/1/00
5,2/1/00
5,3/1/00
4.7,4/1/00
4.8,5/1/00
5.2,6/1/00
5.2,7/1/00
5,8/1/00
4.5,9/1/00
4.2,10/1/00
4.6,11/1/00
4.8,12/1/00
5.7,1/1/01
5.7,2/1/01
6,3/1/01
5.9,4/1/01
5.6,5/1/01
6.3,6/1/01
6,7/1/01
6.2,8/1/01
5.9,9/1/01
6.1,10/1/01
6.5,11/1/01
6.8,12/1/01
7.9,1/1/02
7.7,2/1/02
7.7,3/1/02
7.9,4/1/02
7.6,5/1/02
8.3,6/1/02
8.2,7/1/02
7.6,8/1/02
7.1,9/1/02
7.2,10/1/02
7.3,11/1/02
7.2,12/1/02
7.9,1/1/03
7.6,2/1/03
7.5,3/1/03
7.3,4/1/03
7.3,5/1/03
8.5,6/1/03
8,7/1/03
7.8,8/1/03
7.4,9/1/03
6.9,10/1/03
6.8,11/1/03
6.5,12/1/03
7.3,1/1/04
7,2/1/04
7.1,3/1/04
6.8,4/1/04
6.8,5/1/04
7.3,6/1/04
7.1,7/1/04
6.8,8/1/04
6.5,9/1/04
6.5,10/1/04
6.5,11/1/04
6.3,12/1/04
6.8,1/1/05
7.1,2/1/05
6.6,3/1/05
6.8,4/1/05
6.6,5/1/05
7.1,6/1/05
6.7,7/1/05
6.1,8/1/05
6.2,9/1/05
5.7,10/1/05
5.7,11/1/05
5.4,12/1/05
5.6,1/1/06
5.5,2/1/06
5,3/1/06
5.2,4/1/06
4.8,5/1/06
5.2,6/1/06
5.2,7/1/06
4.9,8/1/06
4.4,9/1/06
4,10/1/06
4.2,11/1/06
4.4,12/1/06
5.4,1/1/07
5.2,2/1/07
4.6,3/1/07
5.1,4/1/07
5,5/1/07
5.8,6/1/07
5.8,7/1/07
5.4,8/1/07
5.2,9/1/07
5.1,10/1/07
5,11/1/07
5.4,12/1/07
6,1/1/08
5.9,2/1/08
5.6,3/1/08
5.4,4/1/08
6.3,5/1/08
7,6/1/08
6.9,7/1/08
7,8/1/08
6.4,9/1/08
6.6,10/1/08
6.6,11/1/08
7.5,12/1/08
8.8,1/1/09
9.7,2/1/09
9.9,3/1/09
10,4/1/09
10.4,5/1/09
11.2,6/1/09
11.2,7/1/09
11.1,8/1/09
11,9/1/09
11.2,10/1/09
10.8,11/1/09
11.3,12/1/09
12.3,1/1/10
12,2/1/10
11.6,3/1/10
11.2,4/1/10
10.7,5/1/10
11.1,6/1/10
11.2,7/1/10
10.8,8/1/10
10,9/1/10
9.9,10/1/10
10,11/1/10
9.7,12/1/10
10.6,1/1/11
10.3,2/1/11
10,3/1/11
10,4/1/11
10.3,5/1/11
11.3,6/1/11
11.3,7/1/11
11.1,8/1/11
10.6,9/1/11
10.4,10/1/11
9.7,11/1/11
9.7,12/1/11
10.2,1/1/12
10,2/1/12
9.6,3/1/12
9.2,4/1/12
9.5,5/1/12
10.3,6/1/12
10.4,7/1/12
10,8/1/12
9,9/1/12
9.2,10/1/12
8.9,11/1/12
9.6,12/1/12
10.8,1/1/13
10.3,2/1/13
9.7,3/1/13
9.4,4/1/13
9.6,5/1/13
10.5,6/1/13
10.2,7/1/13
9.8,8/1/13
9.2,9/1/13
9.2,10/1/13
8.7,11/1/13
8.6,12/1/13
9.1,1/1/14
9.2,2/1/14
8.5,3/1/14
7.4,4/1/14
7.4,5/1/14
7.7,6/1/14
7.8,7/1/14
7.3,8/1/14
6.6,9/1/14
6.5,10/1/14
6.3,11/1/14
6,12/1/14
7.1,1/1/15
6.7,2/1/15
6.2,3/1/15
6,4/1/15
6.2,5/1/15
6.4,6/1/15
6.4,7/1/15
5.9,8/1/15
5.4,9/1/15
5.5,10/1/15
5.6,11/1/15
5.7,12/1/15
6.7,1/1/16
6.9,2/1/16
6.8,3/1/16
6.5,4/1/16
5.7,5/1/16
6.4,6/1/16
5.8,7/1/16
5.7,8/1/16
5.5,9/1/16
6,10/1/16
5.7,11/1/16
5.6,12/1/16
